num_dept;nom_dept;href
01;Ain;/annuaire-sdis/sdis-1.htm
02;Aisne;/annuaire-sdis/sdis-2.htm
03;Allier;/annuaire-sdis/sdis-3.htm
04;Alpes de haute-provence;/annuaire-sdis/sdis-4.htm
05;Hautes-alpes;/annuaire-sdis/sdis-5.htm
06;Alpes-maritimes;/annuaire-sdis/sdis-6.htm
07;Ardeche;/annuaire-sdis/sdis-7.htm
08;Ardennes;/annuaire-sdis/sdis-8.htm
09;Ariege;/annuaire-sdis/sdis-9.htm
10;Aube;/annuaire-sdis/sdis-10.htm
11;Aude;/annuaire-sdis/sdis-11.htm
12;Aveyron;/annuaire-sdis/sdis-12.htm
13;Bouches du rhone;/annuaire-sdis/sdis-13.htm
14;Calvados;/annuaire-sdis/sdis-14.htm
15;Cantal;/annuaire-sdis/sdis-15.htm
16;Charente;/annuaire-sdis/sdis-16.htm
17;Charente-maritime;/annuaire-sdis/sdis-17.htm
18;Cher;/annuaire-sdis/sdis-18.htm
19;Correze;/annuaire-sdis/sdis-19.htm
21;CÔte d'or;/annuaire-sdis/sdis-21.htm
22;CÔtes-d'armor;/annuaire-sdis/sdis-22.htm
23;Creuse;/annuaire-sdis/sdis-23.htm
24;Dordogne;/annuaire-sdis/sdis-24.htm
25;Doubs;/annuaire-sdis/sdis-25.htm
26;Drome;/annuaire-sdis/sdis-26.htm
27;Eure;/annuaire-sdis/sdis-27.htm
28;Eure et loir;/annuaire-sdis/sdis-28.htm
29;Finistere;/annuaire-sdis/sdis-29.htm
30;Gard;/annuaire-sdis/sdis-30.htm
31;Haute-garonne;/annuaire-sdis/sdis-31.htm
32;Gers;/annuaire-sdis/sdis-32.htm
33;Gironde;/annuaire-sdis/sdis-33.htm
34;HÉrault;/annuaire-sdis/sdis-34.htm
35;Ille et vilaine;/annuaire-sdis/sdis-35.htm
36;Indre;/annuaire-sdis/sdis-36.htm
37;Indre-et-loire;/annuaire-sdis/sdis-37.htm
38;Isere;/annuaire-sdis/sdis-38.htm
39;Jura;/annuaire-sdis/sdis-39.htm
40;Landes;/annuaire-sdis/sdis-40.htm
41;Loir-et-cher;/annuaire-sdis/sdis-41.htm
42;Loire;/annuaire-sdis/sdis-42.htm
43;Haute loire;/annuaire-sdis/sdis-43.htm
44;Loire;/annuaire-sdis/sdis-44.htm
45;Loiret;/annuaire-sdis/sdis-45.htm
46;Lot;/annuaire-sdis/sdis-46.htm
47;Lot-et-garonne;/annuaire-sdis/sdis-47.htm
48;Lozere;/annuaire-sdis/sdis-48.htm
49;Maine et loire;/annuaire-sdis/sdis-49.htm
50;Manche;/annuaire-sdis/sdis-50.htm
51;Marne;/annuaire-sdis/sdis-51.htm
52;Haute-marne;/annuaire-sdis/sdis-52.htm
53;La mayenne;/annuaire-sdis/sdis-53.htm
54;Meurthe et moselle;/annuaire-sdis/sdis-54.htm
55;Meuse;/annuaire-sdis/sdis-55.htm
56;Morbihan;/annuaire-sdis/sdis-56.htm
57;Moselle;/annuaire-sdis/sdis-57.htm
58;Nievre;/annuaire-sdis/sdis-58.htm
59;Nord;/annuaire-sdis/sdis-59.htm
60;Oise;/annuaire-sdis/sdis-60.htm
61;Orne;/annuaire-sdis/sdis-61.htm
62;Pas de calais;/annuaire-sdis/sdis-62.htm
63;Puy-de-dÔme;/annuaire-sdis/sdis-63.htm
64;PyrÉnÉes atlantiques;/annuaire-sdis/sdis-64.htm
65;Hautes-pyrenees;/annuaire-sdis/sdis-65.htm
66;Pyrenees-orientales;/annuaire-sdis/sdis-66.htm
67;Bas-rhin;/annuaire-sdis/sdis-67.htm
68;Haut-rhin;/annuaire-sdis/sdis-68.htm
69;RhÔne;/annuaire-sdis/sdis-69.htm
70;Haute saone;/annuaire-sdis/sdis-70.htm
71;SaÔne et loire;/annuaire-sdis/sdis-71.htm
72;Sarthe;/annuaire-sdis/sdis-72.htm
73;Savoie;/annuaire-sdis/sdis-73.htm
74;Haute savoie;/annuaire-sdis/sdis-74.htm
75;Paris;/annuaire-sdis/sdis-75.htm
76;Seine-maritime;/annuaire-sdis/sdis-76.htm
77;Seine et marne;/annuaire-sdis/sdis-77.htm
78;Yvelines;/annuaire-sdis/sdis-78.htm
79;Deux-sevres;/annuaire-sdis/sdis-79.htm
80;Somme;/annuaire-sdis/sdis-80.htm
81;Tarn;/annuaire-sdis/sdis-81.htm
82;Tarn et garonne;/annuaire-sdis/sdis-82.htm
83;Var;/annuaire-sdis/sdis-83.htm
84;Vaucluse;/annuaire-sdis/sdis-84.htm
85;Vendee;/annuaire-sdis/sdis-85.htm
86;Vienne;/annuaire-sdis/sdis-86.htm
87;Haute-vienne;/annuaire-sdis/sdis-87.htm
88;Vosges;/annuaire-sdis/sdis-88.htm
89;Yonne;/annuaire-sdis/sdis-89.htm
90;Territoire de belfort;/annuaire-sdis/sdis-90.htm
