num_dept;nom_dept;groupement;centre;adresse
01;Ain;GROUPEMENT TERRITORIAL BRESSE;CIS BOURG EN BRESSE;200 avenue Capitaine Dhonne BOURG EN BRESSE
01;Ain;GROUPEMENT TERRITORIAL BRESSE;CIS COLIGNY;Frontville 01270 COLIGNY
01;Ain;GROUPEMENT TERRITORIAL BRESSE;CIS MARBOZ;Sous le château 01851 MARBOZ
1;Ain;GROUPEMENT TERRITORIAL BRESSE;CIS MONTREVEL EN BRESSE;112 route de Cuet 01340 MONTREVEL EN BRESSE
1;Ain;GROUPEMENT TERRITORIAL BRESSE;CIS SAINT PAUL DE VARAX;Route des Etangs 01240 SAINT PAUL DE VARAX
1;Ain;GROUPEMENT TERRITORIAL BRESSE;CIS TREFFORT CUISIAT;Le Monetay 01370 TREFFORT CUISIAT
1;Ain;GROUPEMENT TERRITORIAL BRESSE;CIS DU SURAN;33 quartier du Moulin 01250 BOHAS MEYRIAT RIGNAT
1;Ain;GROUPEMENT TERRITORIAL BRESSE;CIS PONT DE VEYLE;Avenue des sports 01290 PONT DE VEYLE
1;Ain;GROUPEMENT TERRITORIAL BRESSE;CIS SAINT TRIVIER DE COURTES;47 Rue de la République 01560 SAINT TRIVIER DE COURTES
1;Ain;GROUPEMENT TERRITORIAL BRESSE;CIS FEILLENS;345 Grande Rue 01570 FEILLENS
1;Ain;GROUPEMENT TERRITORIAL BRESSE;CIS NEUVILLE LES DAMES;Impasse Henri Martin 01400 NEUVILLE LES DAMES
1;Ain;GROUPEMENT TERRITORIAL BRESSE;CIS PONT DE VAUX;Place Eugène Pillard 01190 PONT DE VAUX
1;Ain;GROUPEMENT TERRITORIAL BRESSE;CIS SAINT NIZIER LE BOUCHOUX;Le Bourg 01560 SAINT NIZIER LE BOUCHOUX
1;Ain;GROUPEMENT TERRITORIAL BRESSE;CIS THOISSEY;33 rue de l'Arquebuse 01140 THOISSEY
1;Ain;GROUPEMENT TERRITORIAL BRESSE;CIS VONNAS;639 route de Luponnas 01540 VONNAS
1;Ain;GROUPEMENT TERRITORIAL BRESSE;CIS CORVEISSIAT;Centre de secours 01250 CORVEISSIAT
1;Ain;GROUPEMENT TERRITORIAL DOMBES;CIS TREVOUX;89 route de Lyon 01600 TREVOUX
1;Ain;GROUPEMENT TERRITORIAL DOMBES;CIS AMBERIEUX EN DOMBES;Route de Saint André de Corcy 01330 AMBERIEUX EN DOMBES
1;Ain;GROUPEMENT TERRITORIAL DOMBES;CIS CHATILLON SUR CHALARONNE;Avenue Jean Jaurès 01400 CHATILLON SUR CHALARONNE
1;Ain;GROUPEMENT TERRITORIAL DOMBES;CIS JASSANS RIOTTIER;324 rue Marmont 01480 JASSANS RIOTTIER
1;Ain;GROUPEMENT TERRITORIAL DOMBES;CIS MONTMERLE SUR SAONE;Rue de Lyon 01090 MONTMERLE SUR SAONE
1;Ain;GROUPEMENT TERRITORIAL DOMBES;CIS SAINT TRIVIER SUR MOIGNANS;Route de Châtillon 01990 SAINT TRIVIER SUR MOIGNANS
1;Ain;GROUPEMENT TERRITORIAL DOMBES;CIS MONTLUEL;18 passage de l'Arc 01120 MONTLUEL
1;Ain;GROUPEMENT TERRITORIAL DOMBES;CIS CHALAMONT;Zone Industrielle Le Creuzat 01320 CHALAMONT
1;Ain;GROUPEMENT TERRITORIAL DOMBES;CIS MEXIMIEUX-PEROUGES;20 Rue du Docteur Boyer 01800 MEXIMIEUX / PEROUGES
1;Ain;GROUPEMENT TERRITORIAL DOMBES;CIS MIRIBEL;1920 grande rue 01700 MIRIBEL
1;Ain;GROUPEMENT TERRITORIAL DOMBES;CIS SAINT ANDRE DE CORCY;Zone industrielle de Sure, rue de l'Industrie 01390 SAINT ANDRE DE CORCY
1;Ain;GROUPEMENT TERRITORIAL DOMBES;CIS VILLARS LES DOMBES;465 rue des Dombes 01330 VILLARS LES DOMBES
1;Ain;GROUPEMENT TERRITORIAL BUGEY;CIS AMBERIEU EN BUGEY;23 rue du Professeur Luc MONTAGNIER 01500 AMBERIEU EN BUGEY
1;Ain;GROUPEMENT TERRITORIAL BUGEY;CIS JUJURIEUX;Zone Artisanale 01640 JUJURIEUX
1;Ain;GROUPEMENT TERRITORIAL BUGEY;CIS LAGNIEU;Allée Guy de la VERPILLIERE 01150 LAGNIEU
1;Ain;GROUPEMENT TERRITORIAL BUGEY;CIS PLAINE DE L'AIN;Rue de l'Industrie ZI La Croze 01360 LOYETTES
1;Ain;GROUPEMENT TERRITORIAL BUGEY;CIS PONCIN;Avenue de la 1ere Armée Francaise 01450 PONCIN
1;Ain;GROUPEMENT TERRITORIAL BUGEY;CIS PONT D'AIN;Ile Varambon 01160 PONT D'AIN
1;Ain;GROUPEMENT TERRITORIAL BUGEY;CIS ALBARINE;Rue du Moulin à Papier 01230 SAINT RAMBERT EN BUGEY
1;Ain;GROUPEMENT TERRITORIAL BUGEY;CIS BELLEY;Avenue Charles de Gaulle 01300 BELLEY
1;Ain;GROUPEMENT TERRITORIAL BUGEY;CIS ARTEMARE;Route de Lyon 01510 ARTEMARE
1;Ain;GROUPEMENT TERRITORIAL BUGEY;CIS BREGNIER CORDON;La Bruyère 01300 BREGNIER CORDON
1;Ain;GROUPEMENT TERRITORIAL BUGEY;CIS CULOZ;Sur l'Isle 01350 CULOZ
1;Ain;GROUPEMENT TERRITORIAL BUGEY;CIS HAUTEVILLE LOMPNES;Avenue de Bourg 01110 HAUTEVILLE LOMPNES
1;Ain;GROUPEMENT TERRITORIAL BUGEY;CIS LHUIS;La Guigardière 01680 LHUIS
1;Ain;GROUPEMENT TERRITORIAL BUGEY;CIS LE PETIT ABERGEMENT;Centre de secours 01260 LE PETIT ABERGEMENT
1;Ain;GROUPEMENT TERRITORIAL BUGEY;CIS MONTAGNIEU;Les Granges 01470 MONTAGNIEU
1;Ain;GROUPEMENT TERRITORIAL MONTS - JURA;CIS OYONNAX;35 route de Marchon 01100 OYONNAX
1;Ain;GROUPEMENT TERRITORIAL MONTS - JURA;CIS DORTAN;Rue du 21 Juillet 1944 01590 DORTAN
1;Ain;GROUPEMENT TERRITORIAL MONTS - JURA;CIS IZERNORE;76 rue de la courbe 01580 IZERNORE
1;Ain;GROUPEMENT TERRITORIAL MONTS - JURA;CIS MONTREAL LA CLUSE;Avenue François Prosper de Douglas 01460 MONTREAL LA CLUSE
1;Ain;GROUPEMENT TERRITORIAL MONTS - JURA;CIS NANTUA;14 rue du Docteur Levrat 01130 NANTUA
