num_dept;nom_dept;groupement;centre;adresse;latitude;longitude;result_label;result_score;result_type;result_id;result_housenumber;result_name;result_street;result_postcode;result_city;result_context;result_citycode
01;Ain;GROUPEMENT TERRITORIAL BRESSE;CIS BOURG EN BRESSE;200 avenue Capitaine Dhonne BOURG EN BRESSE;46.217707;5.243391;200 Avenue Capitaine Dhonne 01000 Bourg-en-Bresse;0.81;housenumber;ADRNIVX_0000000285607381;200;Avenue Capitaine Dhonne;;01000;Bourg-en-Bresse;01, Ain, Rhône-Alpes;01053
01;Ain;GROUPEMENT TERRITORIAL BRESSE;CIS COLIGNY;Frontville 01270 COLIGNY;46.380002;5.345599;Fronville 01270 Coligny;0.81;locality;01108_B084_f0b73e;;Fronville;;01270;Coligny;01, Ain, Rhône-Alpes;01108
01;Ain;GROUPEMENT TERRITORIAL BRESSE;CIS MARBOZ;Sous le château 01851 MARBOZ;46.34287;5.255408;Sous le Château 01851 Marboz;0.91;locality;01232_B305_b977dd;;Sous le Château;;01851;Marboz;01, Ain, Rhône-Alpes;01232
1;Ain;GROUPEMENT TERRITORIAL BRESSE;CIS MONTREVEL EN BRESSE;112 route de Cuet 01340 MONTREVEL EN BRESSE;46.330917;5.119028;112 Route de Cuet 01340 Montrevel-en-Bresse;0.92;housenumber;ADRNIVX_0000000325728855;112;Route de Cuet;;01340;Montrevel-en-Bresse;01, Ain, Rhône-Alpes;01266
1;Ain;GROUPEMENT TERRITORIAL BRESSE;CIS SAINT PAUL DE VARAX;Route des Etangs 01240 SAINT PAUL DE VARAX;46.096291;5.129204;Route des Étangs 01240 Saint-Paul-de-Varax;0.91;street;01383_XXXX_ccf7f7;;Route des Étangs;;01240;Saint-Paul-de-Varax;01, Ain, Rhône-Alpes;01383
1;Ain;GROUPEMENT TERRITORIAL BRESSE;CIS TREFFORT CUISIAT;Le Monetay 01370 TREFFORT CUISIAT;46.272306;5.356103;Le Monetay (Treffort-Cuisiat) 01370 Val-Revermont;0.86;locality;01426_B175_b5cd30;;Le Monetay (Treffort-Cuisiat);;01370;Val-Revermont;01, Ain, Rhône-Alpes;01426
1;Ain;GROUPEMENT TERRITORIAL BRESSE;CIS DU SURAN;33 quartier du Moulin 01250 BOHAS MEYRIAT RIGNAT;46.159751;5.39154;33 Quartier du Moulin 01250 Bohas-Meyriat-Rignat;0.91;housenumber;ADRNIVX_0000000285642422;33;Quartier du Moulin;;01250;Bohas-Meyriat-Rignat;01, Ain, Rhône-Alpes;01245
1;Ain;GROUPEMENT TERRITORIAL BRESSE;CIS PONT DE VEYLE;Avenue des sports 01290 PONT DE VEYLE;46.2638;4.884405;Avenue des Sports 01290 Pont-de-Veyle;0.92;street;01306_0080_6cafce;;Avenue des Sports;;01290;Pont-de-Veyle;01, Ain, Rhône-Alpes;01306
1;Ain;GROUPEMENT TERRITORIAL BRESSE;CIS SAINT TRIVIER DE COURTES;47 Rue de la République 01560 SAINT TRIVIER DE COURTES;46.459112;5.080686;47 Rue de la République 01560 Saint-Trivier-de-Courtes;0.92;housenumber;ADRNIVX_0000000340312249;47;Rue de la République;;01560;Saint-Trivier-de-Courtes;01, Ain, Rhône-Alpes;01388
1;Ain;GROUPEMENT TERRITORIAL BRESSE;CIS FEILLENS;345 Grande Rue 01570 FEILLENS;46.331687;4.889209;345 Rue Basse 01570 Feillens;0.61;housenumber;ADRNIVX_0000000285562984;345;Rue Basse;;01570;Feillens;01, Ain, Rhône-Alpes;01159
